synset_id,ar_words,en_words,ar_def_len,en_def_len,ratio,ar_def,en_def
awn3-08385235-n,شِيُوعِيَّة سُوفْياتِيَّة,"Bolshevism, collectivism, sovietism",49,16,3.06,حزب سياسي كان المؤسس والحاكم في الاتحاد السوفييتي,Soviet communism
awn3-08573923-n,منطقة بعيدة,distance,64,16,4.0,المناطق البعيدة عن المدينة حيث يعيش الناس ومن الصعب الوصول إليها,a distant region
awn3-08596234-n,نُقْطَة جُغْرافِيَّة,"geographic point, geographical point",114,35,3.26,مكان يستخدم للتعريف عن نقطة على سطح الأرض بالنسبة للأماكن المجاورة له ويمكن تحدي,a point on the surface of the Earth
awn3-08661508-n,"مَلْجَأ, مَأْوَى","safety, refuge",77,12,6.42,المكان الذي يشعر فيه الشخص بالراحة ولا يكون معرضاً لأي خطر أوأذى نفسي أو جسدي,a safe place
awn3-09416900-n,كَوْكَب,"planet, major planet",97,351,0.28,(فلك) أحد الأجرام التسعة التي تدور حول الشمس في المجموعة الشمسية بعكس عقارب السا,(astronomy) any of the nine large celestial bodies in the solar system that revo
awn3-09697405-n,مَسِيحِي,Christian,28,99,0.28,شخص يؤمن بيسوع المسيح ويتبعه,a religious person who believes Jesus is the Christ and who is a member of a Chr
awn3-09698712-n,برُوتِسْتَانتِي,Protestant,99,28,3.54,من يتبع البروتستانتية وهي أحد المذاهب في الدين المسيحي يقوم مبدؤها على أن الإيما,an adherent of Protestantism
awn3-09699321-n,كَاثُولِيكِي,Catholic,120,29,4.14,من يتبع الكاثوليكية وهي أحد المذاهب في الدين المسيحي الذي يقوم على الإقرار بسياد,a member of a Catholic church
awn3-09905462-n,عُضْو مَجْلِس الوِزَراء,cabinet minister,135,39,3.46,الشخص الذي يكون في منصب عالٍ في مجلس الوزراء الذي يتألف من المستشارين الذين يعاو,a person who is a member of the cabinet
awn3-09999443-n,قَارُون,Croesus,82,18,4.56,أحد أغنياء قوم موسى والذي كان متكبراً ومتجبراً على الناس فعاقبه الله بخسف الأرض ,a very wealthy man
awn3-10104404-n,مُناصِر للمَرأة,"feminist, women's rightist, women's liberationist",101,23,4.39,من يؤمن بالمساواة بين الرجل والمرأة ويسعى لتحقيق تغير يساعد المرأة أن تتساوى فرص,a supporter of feminism
awn3-10184340-n,رَئِيس الدَّوْلَة,"head of state, chief of state",20,83,0.24,الحاكم الرسمي للبلاد,the chief public representative of a country who may also be the head of governm
awn3-10261729-n,زعيم حزب العمال,labor leader,115,28,4.11,قائد حزب العمال في المملكة المتحدة الذي يهتم بإعادة توزيع الثروة من خلال نظام مت,a leader of a labor movement
awn3-10306910-n,رَجُل,"man, adult male",12,51,0.24,الذكر البالغ,an adult person who is male (as opposed to a woman)
awn3-10323481-n,"عُمْدَة, مُحَافِظ, رئِيس بَلَدِيَّة","mayor, city manager",95,29,3.28,المسؤول الأعلى رتبة في حكومة مدينة والمسؤول عنها يعينه الرئيس ويمثل السلطة التنف,the head of a city government
awn3-10335495-n,"مٌنَاضِل, نَاشِط","militant, activist",75,19,3.95,من يتمسك بمبدأ ما بقوة ويسعى جاهداً للإصلاح السياسي أو الاجتماعي في المجتمع,a militant reformer
awn3-10352098-n,"أُمّ, وَالِدَة","mother, female parent",19,86,0.22,المرأة التي لها ولد,a woman who has given birth to a child (also used as a term of address to your m
awn3-10367324-n,ضابِط بَحْرِيّ,naval officer,102,22,4.64,ضابط ( مسؤول عسكري ) في الأسطول البحري مسؤول عن سلامة طاقم العمل والمعدات والمرا,an officer in the navy
awn3-10419190-n,والِدَان,parent,35,134,0.26,الأم والأب، من ينجب الأطفال ويربيهم,a father or mother; one who begets or one who gives birth to or nurtures and rai
awn3-10443334-n,فَيْلَسُوف,philosopher,141,26,5.42,الشخص الذي يمارس الفلسفة ويفكر من خلالها ويؤلف فيها محاولاً الإجابة عن الأسئلة ا,a specialist in philosophy
awn3-10447768-n,"فِيزيائِيّ, اِخْتِصَاصِيُّ الفيزياء",physicist,100,30,3.33,العالم المختص بالفيزياء التي تشمل تفاعلات المادة والطاقة في جميع مقاييس الطول وا,a scientist trained in physics
awn3-10468557-n,"شُرْطِي, رَجُل شُرْطَة","police officer, officer",93,26,3.58,رجل أمن تنحصر مهمته في الحفاظ على أمن البلاد والحد من الاضطرابات المدنية وهو يعم,a member of a police force
awn3-10508450-n,عَالِم نَفْس,psychologist,101,33,3.06,العالم المختص بعلم النفس الذي يدرس العقل والعواطف البشرية والسلوك ويعالج الاضطرا,a scientist trained in psychology
awn3-10649550-n,"مُتَحَدِّث, مُتَكَلِّم","speaker, talker, utterer",36,134,0.27,من يلقي خطاباً عاماً أو يتحدث كثيراً,someone who expresses in language; someone who talks (especially someone who del
awn3-10657708-n,"نَاطِق, مُتَحَدِّث رَسْمِي",spokesman,59,19,3.11,الشخص الذي يتحدث بالنيابة عن أحد أو عن شركة يكون ممثلاً لها,a male spokesperson
awn3-10688105-n,"حَالَة, حقل التجارب","subject, case, guinea pig",24,118,0.2,من يستخدم في تجربة علمية,a person who is subjected to experimental or other observational procedures; som
awn3-11430412-n,"بَلْوَرَة, تَبَلْوُر","crystallization, crystallisation, crystallizing",99,25,3.96,العملية التي يتم من خلالها تشكيل الذرات والجزيئات في شبكة ثلاثية الأبعاد منظمة م,the formation of crystals
awn3-11437102-n,"إِسْتِجَابَة, نَتِيجَة",response,38,8,4.75,ما تنتهي إليه مجموعة الأفعال أو الظروف,a result
awn3-11558116-n,فَصِيلَة الطَحَالِب,moss family,127,18,7.06,إحدى عائلات النباتات التي تنتمي إلى فئة الطحالب وتشبهها في التركيب والشكل حيث لي,a family of mosses
awn3-11558337-n,جِنْس أُشْنَة,moss genus,91,17,5.35,أحد أنواع الأشنيات التي تعرف بأنها كائنات تتكون من ترافق بين الطحالب المجهرية وف,a genus of mosses
awn3-11611234-n,فَصِيلَة الفِطْرِيَّات,fungus family,140,24,5.83,مجموعة كبيرة من النباتات ( من مملكة الطلائعيات ) تتباين في أشكالها وهي تشبه الطح,includes lichen families
awn3-11628701-n,شَجَرَة صَنَوْبَر,"pine, pine tree, true pine",71,17,4.18,نوع من الأشجار إبرية الأوراق دائمة الخضرة مخروطية عارية البذور لا زهرية,a coniferous tree
awn3-12246839-n,خَلَنْج,"Ericaceae, family Ericaceae, heath family",121,8,15.12,رتبة نباتية كبيرة من طائفة ثنائيات الفلقة تضم أشجاراً ونباتات عشبية ذات أزهار صغ,heathers
awn3-12355408-n,"أُكالِبْتوس, شجرة الكينا","eucalyptus, eucalypt, eucalyptus tree",93,30,3.1,شجرة من فصيلة الأكاليبتوس دائمة الخضرة ذات لحاء غني بالصمغ أوراقها فاتحة اللون ع,a tree of the genus Eucalyptus
awn3-12728192-n,فَصِيلَة الحِمْضِيَّات,genus Citrus,118,25,4.72,فاكهة تحمل طعماً لذيذاً لاذعاً وتنمو على الأشجار المزهرة ذات الرائحة العطرة وتنت,"orange, lemon, lime, etc."
awn3-13116444-n,نَسِيْج نَبَاتِيّ,plant tissue,108,21,5.14,مجموعة من الخلايا التي تعمل معاً لأداء وظائف محددة كنقل المياه والغذاء منها الأن,the tissue of a plant
awn3-13156591-n,بَذْرَة,seed,122,18,6.78,وسيلة تكاثر النبات وانتشاره ومخزن الطاقة والغذاء وهي بويضة مخصبة تكونت من مبيض ا,a small hard fruit
awn3-13187976-n,سَرْخَسِيَّات,fern genus,138,31,4.45,رتبة نباتية تتبع طائفة السرخساناوت من شعبة حقيقيات الأوراق نباتات لا زهرية أوراق,genera of ferns and fern allies
awn3-13190117-n,"سَرْخَس, خِنْشَار","Filicopsida, class Filicopsida, Filicinae",69,5,13.8,نبات يتكاثر بالتقسيم وهو سريع الانتشار بشكل جانبي، من فصيلة السرخسيات,ferns
awn3-13307824-n,حِصَّة,"interest, stake",24,81,0.3,حق مالي قانوني في شيء ما,(law) a right or legal share of something; a financial involvement with somethin
awn3-13310182-n,حِصَّة,cut,91,22,4.14,توزيع أرباح الشركات نقداً أو بأسهم عندما تحقق الشركة ربحاً فتدفع نسباً من الأربا,a share of the profits
awn3-13407787-n,عُمْلَة صَعْبَة,"cash, hard cash, hard currency",136,35,3.89,العملة التي تحافظ على قيمتها باستمرار وتكسب ثقة المستثمرين وتكون مرتبطة بالدولة ,money in the form of bills or coins
awn3-13409050-n,عُمْلَة مَسْكُوكَة,"coinage, mintage, specie",110,18,6.11,قطع معدنية تحمل خاتماً من السلطة العامة لضمان وزنها ودرجة نقائها، وتشمل النقود ا,coins collectively
awn3-13455293-n,تَكَاثُر لاجِنْسِي,"asexual reproduction, agamogenesis",133,42,3.17,إنتاج الكائن الحي لمزيد من أجناسه دون حدوث تبادل للمعلومات الجينية مع كائن آخر و,reproduction without the fusion of gametes
awn3-13474601-n,تَآكُل,"corrosion, corroding, erosion",102,26,3.92,تغير التركيب الملامح الخارجية وظهور طبقة تعلو الحديد أو الحجر وغيره يحدث بسبب أح,erosion by chemical action
awn3-13487515-n,"خَرَاب, تَهَدُّم","dilapidation, ruin",111,35,3.17,ضرر بالغ يحصل بشدة وبسرعة على شيء ما يؤدي لانهياره تماماً ولا مجال لترميمه إلا ب,the process of becoming dilapidated
awn3-13662778-n,لُمْعَة,"lumen, lm",44,178,0.25,وحدة قياس التدفق الضوئي الناتج من مصدر الضوء,a unit of luminous flux equal to the amount of light given out through a solid a
awn3-13664755-n,"الفُولْت, الفُولْط","volt, V",57,288,0.2,وحدة قياس القوة الكهربائية المحركة أو فرق الجهد الكهربائي,a unit of potential equal to the potential difference between two points on a co
awn3-13668434-n,أوم,ohm,46,175,0.26,وحدة قياس مقاومة المادة لمرور التيار الكهربائي,a unit of electrical resistance equal to the resistance between two points on a 
awn3-13742201-n,رَطل إنْكليْزِي,"pound, lb",84,21,4.0,وحدة لقياس الكتلة في النظام الأمريكي والانكليزي حيث 1 رطل يساوي 453 غرام أو 16 أ,16 ounces avoirdupois
awn3-13752012-n,عَدَد حَقِيقِيّ,"real number, real",100,33,3.03,العدد الذي يمكن رؤيته على مستقيم الأعداد، يمكن أن يكون نسبياً أو غير نسبي، موجبا,any rational or irrational number
awn3-13755206-n,المَقَام,denominator,80,25,3.2,هو الجزء السفلي في الكسر وهويعبر عن عدد الأقسام المتساوية التي تشكل الجزء الكامل,the divisor of a fraction
awn3-13781286-n,حَدّ,"region, neighborhood",26,91,0.29,النطاق الذي لا يمكن تجاوزه,the approximate amount of something (usually used prepositionally as in ‘in the 
awn3-13897824-n,قُرْص,"disk, disc, saucer",18,61,0.3,قطعة دائرية منبسطة,something with a round shape resembling a flat circular plate
awn3-13932205-n,مُنْحَنَى جَيْبِيّ,"sine curve, sinusoid",75,20,3.75,أحد أنواع الدوالّ المثلثية وهي منحنى رياضي يصف الحركات الاهتزازية التكرارية,the curve of y=sin x
awn3-13934166-n,رباط,"articulation, join, joint",19,74,0.26,ما ترتبط به الأشياء,the shape or manner in which things come together and a connection is made
awn3-13975819-n,وَضْع قَانُونِي,legal status,88,23,3.83,الحالة التي يقرها القانون ورأي القانون في مسألة معينة، وعلاقة الشخص بالقانون في ,a status defined by law
awn3-13979160-n,حَقِيْقَة,fact,16,66,0.24,شيء ثابت يقيناً.,an event known to have happened or something known to have existed
awn3-14007770-n,ظَلام جُزْئِي,semidarkness,51,16,3.19,الغياب الجزئي للضوء حيث يمكنك الرؤية ولكن ليس بوضوح,partial darkness
awn3-14300438-n,مَرَض النَبَات,plant disease,90,29,3.1,كل تغير أو تحول أو انحراف عن الحالة الطبيعية التي ينمو عليها النبات وتؤثر عليه و,a disease that affects plants
awn3-14453411-n,"مَرْتَبَة, مَكَانَة",rank,46,15,3.07,تصنيف لمقام او منزلة الفرد اجتماعياً أو مهنياً,relative status
awn3-14454897-n,رُتْبَة عَسْكَرِيَّة,"military rank, military rating, paygrade",111,31,3.58,نظام هرمي يتألف من تصنيفات تربط العلاقات بين الأفراد في المؤسسة العسكرية حيث الر,rank in a military organization
awn3-14456827-n,قِيَادَة,leadership,95,22,4.32,القدرة على التأثير في الآخرين لتوجيه سلوكهم نحو هدف مشترك بطريقة تضمن طاعتهم وتع,the status of a leader
awn3-14460341-n,"شَرَف, حَسَب","honor, honour, laurels",79,26,3.04,سمو القدر وعلو المنزلة، وهي صفة تقييم مستوى الفرد في المجتمع وهي تأتي من الآباء,the state of being honored
awn3-14504664-n,غَاز,"gas, gaseous state",86,311,0.28,حالة المادة الشفافة التي تشغل كل حيز توضع فيه وتتشكل بشكله ويمكن إسالته بتعريضه ,the state of matter distinguished from the solid and liquid states by: relativel
awn3-14664934-n,ذَرَّة هَيْدرُوجِين,hydrogen atom,74,19,3.89,أبسط الذرات لأول عنصر في الجدول الدوري، تتكون من بروتون واحد وإلكترون واحد,an atom of hydrogen
awn3-14709929-n,فَحْم الكُوك,coke,158,44,3.59,مادة كربونية قابلة للاستخدام كوقود بإحراقها ويتم تصنيعها بالتقطير الإتلافي للفحم,carbon fuel produced by distillation of coal
awn3-14846733-n,سَبِيكَة أَسَاسُها النُّحَاس,copper-base alloy,152,45,3.38,سبيكة معدنية تتركب بشكل أساسي من عنصر النحاس وبعض المعادن الأخرى وتتميز بقدرتها ,any alloy whose principal component is copper
awn3-14858733-n,الْماس,"diamond, adamant",174,51,3.41,فلزيتركب من كربون حر شفاف عديم اللون يفوق في قساوته جميع المواد المتوافرة في الط,very hard native crystalline carbon valued as a gem
awn3-14889951-n,أكسيد الحديد,ferric oxide,80,19,4.21,مركب كيميائي أحمر يتكون من الحديد والأكسجين، يوجد منه ستة عشر نوعاً أشهرها الصدأ,a red oxide of iron
awn3-14918632-n,راتين طَبِيعيّ,natural resin,75,15,5.0,مادة لزجة تخرج من لحاء الأشجار كالصنوبر ونحوها وتكون مختلطة بالصموغ والزيوت,a plant exudate
awn3-14933128-n,دُبَال,humate,137,36,3.81,مادة عضوية تنتج من تحلل الفرش الحرجي ومعظم مكوناته هي بقايا حيوانية ونباتية متحل,material that is high in humic acids
awn3-15002063-n,مَادَّة رَصْف,"paving, pavement, paving material",129,29,4.45,الطبقة السطحية المتينة المتوضعة في مساحة مخصصة لتتحمل حمولات السير أو المركبات، ,material used to pave an area
awn3-15008050-n,"تَماسِيح الحَدِيد, خام الحَدِيد المُنْصَهِر",pig iron,115,38,3.03,حديد خام يحتوي نسبة عالية من الكربون، ينتج من صهر الحديد مع فحم الكوك، ثم يستخدم,crude iron tapped from a blast furnace
awn3-15146244-n,قَدِيم الزَمَان,old,33,10,3.3,الزمن الماضي قبل أن تتغير الأشياء,past times
awn3-15146348-n,تَارِيخ,history,86,28,3.07,الأحداث الماضية جميعها بالإضافة إلى الذاكرة وجمع وعرض وتفسير المعلومات حول هذه ا,the aggregate of past events
awn3-15146953-n,زَمَن مُوسِيقِي,musical time,103,34,3.03,الرتم: وهو الترتيب الذي نقسم به العدات على آلات الإيقاع، والنوتة: وهي المدة الزم,(music) the beat of musical rhythm
awn3-15178747-n,"شَيْخُوخَة, هَرَم, تَقَدُّم العُمْر","old age, years, age",113,19,5.95,فترة الهرم والتقدم في العمر في مرحلة متأخرة من حياة الكائنات الحية حيث العديد من,a late time of life
awn3-15236963-n,"يُولْيُو, تموز",July,139,45,3.09,الشهر السابع من الأشهر الميلادية وعدد أيامه واحد وثلاثون يوماً وفيه تكون الحرارة,the month following June and preceding August
awn3-15238570-n,"دِيسِمبر, كَانُون الأوَّل","December, Dec",111,33,3.36,الشهر الثاني عشر والأخير من الأشهر الميلادية وعدد أيامه واحد وثلاثون يوماً ويتمي,the last (12th) month of the year
awn3-00008299-v,غَمَز,wink,88,17,5.18,يشير بعينه من خلال غلق عين واحدة وفتحها سريعاً للدلالة على التحية أو المزاح أو ا,signal by winking
awn3-00014398-v,اِرْتَاحَ,rest,43,10,4.3,يكون في حالة استقرار وهدوء، دون ألم أو توتر,be at rest
awn3-00014735-v,نَامَ,"sleep, kip, slumber",65,9,7.22,يكون في حالة راحة مؤقتة حيث وظائف الجسد غير نشطة والدماغ غير واعٍ,be asleep
awn3-00045548-v,"نَحُفَ, أَنْقَصَ","reduce, melt off, slim",47,15,3.13,ينقص الوزن ويجعله نحفياً خفيفاً أو هو يبدو كذلك,take off weight
awn3-00056644-v,وَلَدَ,"give birth, deliver, bear",54,16,3.38,تُخرج الجنين من رحمها إلى الوجود بعد انقضاء فترة الحمل,cause to be born
awn3-00061366-v,عَقَّمَ,"sterilize, sterilise, desex",56,14,4.0,يجري عملاً جراحياً ليصبح عقيماً ولا يستطيع إنجاب الأطفال,make infertile
awn3-00064841-v,"عَانَى, قَاسَى","suffer, hurt, ache",50,10,5.0,يشعر بالمشقة والقسوة والصعوبة والألم في فترة معينة,be in pain
awn3-00077891-v,"تَجَلَّدَ, تَجَمَّدَ",freeze,30,7,4.29,يفقد الحرارة ويصبح بارداً جداً,be cold
awn3-00087206-v,مَرِضَ,"sicken, come down",34,8,4.25,يصبح مريضاً وفي حالة صحية غير جيدة,get sick
awn3-00091720-v,"أَعْجَزَ, أَعَاقَ","disable, invalid, incapacitate",55,18,3.06,يصيبه إصابة يعجز معها عن الحركة بطريقة طبيعية بشكل دائم,injure permanently
awn3-00100305-v,"دَرَّبَ, مرّن","exercise, work, work out",76,17,4.47,يساعد ويمرّن المتدرب على أداء التمارين الرياضية، أو يعطيه التمارين ليقوم بها,give a workout to
awn3-00103495-v,جعله شاحِباً,etiolate,101,19,5.32,يتسبب في فقدان اللون الطبيعي للبشرة أو النبات ويحولها إلى لون مصفرّ أو باهت بسبب,make pale or sickly
awn3-00113536-v,تَجَلَّلَ,gel,52,12,4.33,يتغير من مادة سائلة إلى مادة هلامية كثيفة ناعمة لزجة,become a gel
awn3-00118572-v,تَابَعَ,"keep up, keep abreast, follow",63,13,4.85,يبقى على اطلاع ويواكب أحدث المستجدات حول موضوع ما أو حالة معينة,keep informed
awn3-00155947-v,اِرْتَفَعَ,bull,84,16,5.25,يرتفع سعر أو أسعار ( سوق الأوراق المالية أو الورقة المالية ) عن طريق الشراء التخ,advance in price
awn3-00170503-v,جَدَّدَ,update,97,29,3.34,يجعل الشيء أكثر حداثة وأنسب للاستخدام باستبداله بشيء جديد أو بإضافة آخر التحسينا,modernize or bring up to date
awn3-00171010-v,قَوَّى,"soup up, hop up, hot up",56,18,3.11,إجراء تغييرات ميكانيكية على شيء ما لجعله أكثر قوة وكفاءة,make more powerful
awn3-00181809-v,رتب,"unclutter, clear",60,19,3.16,يزيل الفوضى والعوائق ويرتب المكان ويخليه من التفاصيل الزائدة,rid of obstructions
awn3-00187671-v,أَدَخَلَ,"insert, enclose, inclose",11,52,0.21,يضع أو يدخل,"place, fit, or thrust (something) into another thing"
awn3-00195256-v,"جَرَّدَ, عَرَّى","denude, bare, denudate",52,8,6.5,يزيل الطبقة الساترة التي تغطي شيئاً ما ويتركه عارياً,lay bare
awn3-00195686-v,أَزَالَ,clear,64,6,10.67,يتخلص من كل ما يعيق أو يملأ شيئاً ما، أو لوقف الانسداد والامتلاء,remove
awn3-00204228-v,سَاءَ,"worsen, decline",41,10,4.1,يصبح شيئاً غير جيد، غير سار، أو غير مقبول,grow worse
awn3-00208618-v,"أَزَّمَ, عَقَّدَ, فاقم","worsen, aggravate, exacerbate",45,10,4.5,يجعل الأمر أكثر شدةً وحدةً ويزيد من سوء الحال,make worse
awn3-00222898-v,"عَزَّزَ, دَعَمَ","reinforce, reenforce",40,13,3.08,يجعل الشيء أقوى وأكثر صلابة بزيادة الدعم,make stronger
awn3-00265761-v,"تَحَمَّضَ, حَمَّضَ","acidify, acetify",34,11,3.09,تتحول أو يحول المادة إلى خل أو حمض,turn acidic
awn3-00267083-v,تَبَلْمَرَ,"polymerize, polymerise",101,22,4.59,أن تخضع المادة لعملية البلمرة وهي ارتباط الجزيئات الصغيرة ببعضها لتكوين جزيء كبي,undergo polymerization
awn3-00267684-v,أيَّنَ,"ionize, ionise",59,17,3.47,يحول إلى أيونات سواء بالذوبان أو الشحن أو التفريغ الكهربائي,convert into ions
awn3-00272510-v,زَعْزَعَ,"destabilize, destabilise",54,13,4.15,يجعله غير مستقر بافتعال المشاكل أو خلق حالة تضعف القوى,make unstable
awn3-00272976-v,تَزَعْزَعَ,"destabilize, destabilise",53,15,3.53,يصبح غير مستقر بافتعال المشاكل أو خلق حالة تضعف القوى,become unstable
awn3-00278429-v,رَتَّبَ,order,76,22,3.45,يضع مجموعة من الناس أو الأشياء بالترتيب من الأول إلى الأخير أو حسب نظام معين,bring order to or into
awn3-00318501-v,"مَدَّدَ, طَوَّلَ",lengthen,45,11,4.09,يجعله أطول مما هو في الأصل بزيادة إضافية عليه,make longer
awn3-00340744-v,"حَدَثَ, وَقَعَ, حَصَلَ","happen, hap, go on",51,12,4.25,يصبح موجوداً أو يأتي للوجود بسبب حالة أو فعل أو حدث,come to pass
awn3-00390309-v,"أوْهَنَ, أضْعَفَ, اِسْتَنْزَفَ","enfeeble, debilitate, drain",29,9,3.22,يجعل شيئاً أو شخصاً ما ضعيفاً,make weak
awn3-00415969-v,اِسْتَقَرَّ,settle,53,16,3.31,يهاجر ويستقر في مكان ما مشكّلاً مستعمرة أو مجتمعاً له,form a community
awn3-00424655-v,أَتَى,"come on, come out, turn up",11,40,0.28,يصبح مرئياً,appear or become visible; make a showing
awn3-00452793-v,اِمْتَلَأَ,"fill, fill up",36,11,3.27,يصبح ممتلئاً ويتم شغل مساحته الفارغة,become full
awn3-00471317-v,"اِسْتَغَلَّ, تَاجَرَ","commercialize, commercialise, market",59,15,3.93,يتيح منتجاً أو خدمة خاصة للبيع للعموم ويستغلها من أجل الربح,make commercial
awn3-00555375-v,"أوْقع الفوْضى في, مزّق",disrupt,84,19,4.42,يمنع شيئاً ( كنظام أو عملية أو حدث) من أن يسير كما هو متوقَّع لهُ، موقعاً فيه ال,throw into disorder
awn3-00597527-v,حَفِظ,know,80,22,3.64,يكون حافظاً للمعلومات في ذهنه جيداً بحيث يستطيع استرجاعها من الذاكرة والتحدث بها,have fixed in the mind
awn3-00601008-v,عَقَلَ,wise up,55,11,5.0,يبدأ في فهم الموقف أو حقيقة الأمر ويقوم بالتصرف المناسب,get wise to
awn3-00603650-v,اِسْتَوْعَبَ,"absorb, assimilate, ingest",85,16,5.31,يتبنى أفكاراً تكون جزءاً من معرفته الأساسية التي اكتسبها من الآخرين وتصبح من معت,take up mentally
awn3-00648747-v,قَاسَ,"measure, mensurate, measure out",20,73,0.27,يأخذ مقاس شيء أو شخص,"determine the measurements of something or somebody, take measurements of"
awn3-00692380-v,"نَظَرَ, اِعْتَبَرَ, رَأَى","see, consider, reckon",31,10,3.1,يعتبر الشيء أنه يكون بصفة معينة,deem to be
awn3-00725991-v,"دخل في ميزانية, وضع ميزانية, وَضَعَ رَصِيد مِيزَاَنِيَّة",budget,47,13,3.62,يخطط لوضع المبلغ المالي الذي سيُنفَق على شيء ما,make a budget
awn3-00759589-v,"تبرّأ مِن, تخلّى عن, تخلى","disown, renounce, repudiate",38,8,4.75,يرفض الاعتراف بامتلاكه شيئاً ما وينبذه,cast off
awn3-00766947-v,تَصَالَحَ,"reconcile, patch up, make up",68,13,5.23,يتفق طرفان متعارضان على تقبل بعضهما والتعايش سوياً والوصول إلى تسوية,come to terms
awn3-00773386-v,شَجَّعَ,encourage,74,7,10.57,يساعده على الشعور بالثقة وبالقدرة على فعل الشيء، أو يعطيه نصيحة لفعل الشيء,spur on
awn3-00778104-v,"أَنْكَرَ, عَارَضَ","oppose, controvert, contradict",57,15,3.8,يكون منكراً ومقاوماً لشيء أو شخص ويحاول إثبات أنه على خطأ,be resistant to
awn3-00786670-v,"اِسْتَفْهَمَ, أِسْتَفْسَرَ","question, query",54,15,3.6,يفرض سؤالاً يعبر فيه عن الشك في شيء أو يبحث عن معلومات,pose a question
awn3-00834439-v,أَطْلَعَ,acquaint,28,6,4.67,يخبره بالشيء ليصبح عارفاً به,inform
awn3-00850387-v,اِنْزَعَجَ,mind,13,61,0.21,يتضايق من شيء,"be offended or bothered by; take offense with, be bothered by"
awn3-00874568-v,"أَرْشَدَ, نَصَحَ","rede, advise, counsel",65,14,4.64,يعطي مشورة أو نصيحة لشخص ما بغرض المساعدة والتوجيه للسلوك المناسب,give advice to
awn3-00899077-v,خَاطَبَ,"address, turn to",36,8,4.5,يوجه حديثه لشخص معين أو مجموعة معينة,speak to
awn3-00914426-v,صَرَخَ,shout,17,96,0.18,يتحدث بصوت عالٍ .,utter in a loud voice; talk in a loud voice (usually denoting characteristic man
awn3-00932330-v,"أوْحَى, استحضر","suggest, evoke, paint a picture",40,12,3.33,يجعل الشخص يتذكر شيئاً أو يشعر بعاطفة ما,call to mind
awn3-00943068-v,إِبْتَلَعَ,swallow,51,15,3.4,يلفظ الكلام بشكل غير واضح وكأنه يبتلع حروفاً، يتمتم,utter unclearly
awn3-00945313-v,تَكَلَّمَ,"verbalize, verbalise",44,10,4.4,يعبّر ويتحدث مطولاً وبكلمات زائدة غير ضرورية,be verbose
awn3-00956640-v,أَذاعَ,"publicize, publicise, air",36,11,3.27,يجعل الأمر مُتاحاً ومعروفاً بشكل عام,make public
awn3-00975760-v,أَذَاعَ,air,42,12,3.5,يتم نقله عبر القنوات الإذاعية والتلفزيونية,be broadcast
awn3-00983576-v,"تَلَعْثَمَ, تأتأ","bumble, stutter, stammer",96,15,6.4,يتحدث بصعوبة مع توقفات غير معتادة وأصوات متكررة، إما بسبب مشاكل في الكلام أو بسب,speak haltingly
awn3-01003339-v,"شَرَحَ, بَيَّنَ","set forth, expound, exposit",35,5,7.0,يعطي أو يذكر تفسيراً مفصلاً لشيء ما,state
awn3-01020937-v,"نَصَّ, اِشْتَرَطَ","stipulate, qualify, condition",34,117,0.29,يحدده كشرط أو مطلب في عقد أو اتفاق,specify as a condition or requirement in a contract or agreement; make an expres
awn3-01060096-v,"سَحَقَ, خَشْخَشَ","crunch, scranch, scraunch",64,21,3.05,يصدر صوت ضوضاء أو تكسّر ناتج عن ضغط أو سحق الأشياء القاسية سوياً,make a crushing noise
awn3-01065952-v,شَارَكَ,share,42,11,3.82,يخبر شخصاً آخر بأفكاره ومشاعره وما إلى ذلك,communicate
awn3-01091334-v,عَيَّنَ,"station, post, send",58,19,3.05,يُرسل الشخص للتمركز في مكان ما ليقوم بعمل معين لفترة محددة,assign to a station
awn3-01102003-v,خَسِرَ,lose,36,11,3.27,يفشل ويُهزم في معركة أو نزال أو سباق,fail to win
awn3-01110559-v,"هَزَمَ, تَغَلَّب على","get the better of, overcome, defeat",76,18,4.22,يهزم شيئاً أو ينجح في التعامل مع الصعوبات أو المشاكل أو ينتصر في نزاع مع أحد,win a victory over
awn3-01128150-v,"بثّ ألْغام فِي, لغم, زَرَعَ أَلْغَام فِي",mine,32,9,3.56,يزرع الألغام المتفجرة داخل الأرض,lay mines
awn3-01129272-v,حَاصَرَ,"blockade, seal off",91,20,4.55,يُطوّق بلداً أو مكاناً بالجنود والسفن وما إلى ذلك لمنع الأشخاص أو البضائع من الد,impose a blockade on
awn3-01197471-v,سَمَّنَ,"fatten, fat, flesh out",53,17,3.12,يجعل الشخص سميناً أو ممتلئاً بإعطائه المزيد من الطعام,make fat or plump
awn3-01200388-v,اِسْتَقْلَبَ,"metabolize, metabolise",78,21,3.71,يستخدم العمليات الكيميائية داخل الجسم ليحول الغذاء إلى طاقة، ونمو جديد، وفضلات,produce by metabolism
awn3-01218568-v,أَمْسَكَ,"grasp, hold on",42,11,3.82,يمسك الشيء بسرعة ثم يُحكم عليه بقوة وإحكام,hold firmly
awn3-01240465-v,أَخْطَأَ,miss,47,13,3.62,عدم القدرة على الصول إلى شيء ما أو الفشل في ذلك,fail to reach
