matched_word,awn3_synset_id,ao_concept_id,awn3_words,new_words,awn3_gloss,ao_gloss
تركز,awn3-00238145-v,50368,أنْقص بِالغلْي|اِسْتخْلص بِالغلْي|أصبح أشد قوة|أضعف|اختزل|اختصر|تجبر|تجمع|تركز|حال إلى|حشد|خضع|دق|ركز|سحق|سكت|عالج الصورة السلبية|قلص|قلل|كثف|نزل الرتبة|نقص|هزل,جمع في الوسط|تجمع في الوسط,يبقى على النار في حالة الغليان حتى ينقص السائل ويصبح قليلاً جداً,وجود الشيء في المنتصف لهدف معين وبطريقة معينة
اعار,awn3-02329178-v,46736,أَعَارَ|أَقْرَضَ,دَيَّنَ|أَسْلَفَ|قَارَضَ|سَلَّفَ|أَدَانَ,يعطي الشيء مؤقتاً على أن يعود له مجدداً,أعطى شخصاً مالاً أو منفعة على أن يعيدها إليه في وقت لاحق
يرقه,awn3-02313712-n,54028,يَرَقَة,يَرَقَانَةٌ,شكل من أشكال الحياة الحرة غير الناضجة لمعظم اللافقاريات والبرمائيات والأسماك والتي تختلف تماماً عن و,اسم للطَّور الذي ينتج من فقس البيضة في كثير من الحيوانات وتختلف في شكلها عن الحيوان اليافع
اعقب,awn3-02726419-v,47445,أَعْقَبَ|تَبِعَ|تَلاَ,أَنْسَلَ|أَنْجَبَ|نَسَلَ2|وَلَدَ|وَلَدَ من,,خرج له ولد من صلبه فأصبح له ذرية
معا,awn3-00117417-r,49672,سَوِيَّةً|مَعًا,في نفس الوقت,مع بعضهم البعض في نفس الوقت,حدوث شيئين في نفس الفترة الزمنيّة بحيث لا يوجد فاصل بينهما
باقه,awn3-07971317-n,46373,حِزْمَة|بَاقَة,جُرْزَةٌ|قَبْضَةٌ|إِضْبَارَةٌ|ضِغْثٌ|إِضْمَامَةٌ|صُرَّةٌ|لِفَافَةٌ|طَاقَةٌ|طَرْدٌ|عَامَّةٌ|رِزْمَةٌ|رَبْطَةٌ|بَالَةٌ,أي مجموعة بمجملها,وصف لمجموعة أشياء يُضَمّ ويجمع بعضها فوق بعض ليكون كوحدة واحدة
ازدهار,awn3-14497636-n,46748,اِزْدِهَار,تَمْدِينٌ|تَمَدُّنٌ|رَقِيَ|رَقِيَ إلى|رَقِيَ في|مَدَنِيَّةٌ|سُمُوٌّ|سُؤْدَدٌ|سُؤْدُدٌ|عَظَمَةٌ|جَاهٌ|اِنْتِعَاشٌ|تَقَدُّمٌ|تَطَوُّرٌ|نُمُوٌّ|شَرَفٌ|اِرْتِقاءٌ|حَضَارَةٌ|عُلُوٌّ|عَلاءٌ|مَجْدٌ|رُقِيٌّ|رِفْعَةٌ|نَهْضَةٌ|نَمَاءٌ|إِنْمَاءٌ|فَوْرَةٌ,النمو والنجاح والتطور الإيجابي,حالة من التميز والنماء الاجتماعي والاقتصادي ومجاراة الحاضر
اجبار,awn3-01129700-n,46380,إجْبَار,اِضْطِرارٌ|إِرْغَامٌ|إِلْزَامٌ|تَضْيِيقٌ|غَلَبَةٌ|إِكْرَاهٌ|قَهْرٌ|جَبْرٌ|قَسْرٌ|ضَغْطٌ|رَغْمٌ|عَنْوةٌ,عملية الإلزام بقوة السلطة,جعل شخص ما يقدم على عمل من غير إرادة أو رضا
صدغ,awn3-05610438-n,47697,صُدْغ,فَوْدٌ|لِمَّةٌ|قُصَّةٌ|طَاقَةٌ|خُصْلَةٌ,المنطقة المسطحة على جانبي الجبين,اسم لشَعْرُ الرَّأْسِ الَّذِي ينزل فوق المنطقة التي تقع بين العين و الأُذُنِ
اغفل,awn3-00616690-v,46295,أَهْمَلَ|أَغْفَلَ|تَجَاهَلَ,سَها إلى|سَها عن|سَها في|اِلْتَهَى ب|اِلْتَهَى عن|تَلَهَّى ب|تَلَهَّى عن|تَغَابَى|تَغَابَى عن|تَغَاضَى عن|غَفَلَ|غَفَلَ عن|غَفَلَ من|تَغافَلَ|تَغافَلَ عن|غَفَا|فَتَرَ|فَتَرَ إلى|فَتَرَ عن|فَتَرَ في|فَرَّطَ|فَرَّطَ في|سَلا|سَلا عن|تَشَاغَلَ|تَشَاغَلَ ب|تَشَاغَلَ عن|اِنْشَغَلَ|اِنْشَغَلَ بِ|اِنْشَغَلَ عَنْ|نَسِيَ|تَناسى|تَراخى عن|تَراخى في|تَهاوَنَ ب|تَهاوَنَ في|تَوانى عن|تَوانى في|قَصَّرَ|قَصَّرَ عن|قَصَّرَ في|قَصَّرَ من|تَرَكَ|كَسِلَ|لَهَا عن,لا يتضمن الشيء أو الشخص أو لا يذكره,ترك فعل الشيء وقصَّر فيه عَمْداً أو نسياناً
ملامه,awn3-06726451-n,46207,عِتَاب|لَوْم|مَلاَمَة|عَتَب|لائِمَة,تَقْرِيعٌ|مُعَاتَبَةٌ|تَقْبِيحٌ|تَعْنِيفٌ|تَثْرِيبٌ|تَبْكِيتٌ|تَوْبِيخٌ|عَذْلٌ|تَأنيبٌ|تَنْدِيِدٌ,التعبير عن الانزعاج أو عدم الاستحسان بطريقة غير عنيفة,الخطاب الشديد المصحوب بغلظة في الكلام والموّجه لشخص قام بفعل غير مرغوب فيه أو خاطئ
حايد,awn3-02541562-v,50249,حَايَدَ,حايَدَ في|جَانَبَ,يجعله محايداً سياسياً باستبعاده عن مجال الحرب أو التحالفات بموجب اتفاق دولي,وقف دون تحيز لاي طرف وكان مستقلاً
فضه,awn3-14679133-n,53998,فِضَّة,لُجَيْنٌ|نُضَارٌ,عنصر فلزي ثمين ناعم أحادي التكافؤ. يملك أعلى درجة موصلية كهربائية وحرارية من أي معدن. يوجد في معدن ا,اسم لمَعْدِنٌ أَبْيَضُ لَمَّاعٍ لَيِّنٌ ثَمينٌ يُوجَدُ في الطَّبيعَةِ مُمْتَزِجاً بِبَعْضِ المَعادِن
قصيده,awn3-06389065-n,49505,شِعْر|قَصِيَدة,مَلْحَمَةٌ,شكل من أشكال الفن الأدبي يعتمد على موسيقى خاصة ووزن دقيق تشكل كل سطر من سطوره,مُطَوَّلَةٌ شِعْرِيَّةٌ تَتَنأوَلُ قِصَّةَ حَرْبٍ ضَروسِ ، فَتَرْوي الأحْداثَ وَتَصِفُ الجُيُوشَ وَا
قصدير,awn3-14683034-n,53241,قَصْدِير,تَنَكٌ,عنصر فلزي فضي مرن ضد التآكل، يستخدم في العديد من السبائك وطلاء المعادن الأخرى. لمنع تآكلها. يتم الحص,ع
سياج,awn3-03332179-n,46690,سِيَاج|سَوْر,وَشِيعٌ|جِدارٌ|مِتْرَاسٌ|حَائِطٌ|عَقَبَةٌ|حَاجِزٌ|حِظَارٌ|حَائِلٌ 1|نِطَاقٌ,حاجز من أسلاك أو شوك أو حائط يحيط بمكان ما كبيت أو حديقة ونحوهما,بناء قائم يفصل بين شيئين أو يحيط بمكان ما
اولويه,awn3-05054430-n,46552,أَوْلَوِية|أَسْبَقِيَة,أَوَّلِيَّةٌ|تَفْضِيلٌ|أفْضَليَّةٌ|تَصْدُّرِيَّةٌ|تَفَوَّقَ على|تَفَوَّقَ في|تَفَوُّقٌ|أقْدَمِيَّةٌ|مَزِيَّةٌ|أَحَقِّيَّةٌ,سابقة حدثت من قبل، كانت سبباً أو أصلاً لوجود شيء ما لاحقاً,وصف لتقدُّم في الزمان أو المكانة لشيء مقارنة بشيء آخر
تشجع,awn3-02324030-v,45926,أبْهظ|أرْهق|غلّى|نهب|سلب|أثقل|أخذ بدون حق|أرهق|أسرف في الشراب|أشبع|احتال|اختلس|اقتلع|انعقف|بلل كليا|تخلل|تشجع|تشرب أو يمتص|تكلب|ثلج|جرده من ماله|جز|حرم|حمله أكثر مما يطيق|رفض مرشحا|سرق|صاد|طالب بسعر عالي|طلب ثمنا أعلى|عاقب بقسوة|عقف|قطف|نتف|نتف الريش|ندف|نظف بالنقع|نقر على الأوتار|نقع|هدم|أَبْهَظَ|أَرْهَقَ|زادَ الثَّمَن,جَرُؤَ على|تَجَرَّأَ|اِجْتَرَأَ|اِجْتَرَأَ على|جازَفَ ب|جازَفَ في|جَسَرَ|جَسَرَ على|تَجاسَرَ|تَجاسَرَ على|غَامَرَ|غَامَرَ ب|بَسُلَ|أَقْدَمَ|أَقْدَمَ على|حَمُسَ|خاطَرَ ب|شَجُعَ,يطلب سعراً أو مبلغاً غير منطقي,تسلّح بالقوة والثقة بالنفس في عمل شيء ما من الخطورة بمكان دون الالتفات لعواقب وأضرار هذا الشيء .
اشتياق,awn3-07501768-n,46110,شَوْق|اِشْتِيَاق,تَلَهُّفٌ|وَلَهٌ|لَهْفَةٌ|حَنِينٌ|تَوْقٌ|صَبَابَةٌ|صَبْوَةٌ|رَغْبَةٌ|وَجْدٌ|نَزْعةٌ|نُزوعٌ,رغبة أو حاجة قوية لوجود الشيء,عملية شعورية الاشتياق واللهفة لرؤية شخص ما تحبه
دان,awn3-02258963-v,47279,دانَ,مُتَاخِمٌ|مُلَاصِقٌ|قَرِيبٌ|مُجَاوِرٌ|أَقْرَبُ|أَدْنَى 2,يكون مجبراً على التعويض ورد الدين,كون موجود مادي ما تفصله مسافة قصيرة جدا عن موجود آخر
زمر,awn3-02187621-v,54024,زَمَّرَ,أَزِيزٌ|دَوِيٌّ,يصدر ضجيجاً عالياً ويستخدم غالباً للتنبيه,اسم لصوت للتنبيه
حجره,awn3-04112987-n,53438,غُرْفَة|حُجْرَة,غُرْفَةٌ2,مساحة ضمن بناء محاطة بأربع جدران وأرضية وسقف,شاغر محصور أبعاد محددة ومحاط بأعمدة وسقف
اشتكي من,awn3-00065410-v,303029728,اشْتَكَى مِن,اِشْتَكى|اِشْتَكى إلى,يقاسي ويتحمل الألم والمرض,اشتكى إلى فلان:- لجأ إليه ليُزيلَ شكواه <قَدْ سَمِعَ اللهُ قَوْلَ الَّتِي تُجَادِلُكَ فِي زَوْجِهَا 
نظافه,awn3-14519777-n,49414,نَظَافَة,طَهَارَةٌ|طِهَارَةٌ|صَفَاءٌ|نَقَاوَةٌ,كون الشيء نظيفاً، معقماً، خالياً من الأوساخ والقذارات,النقاء من الدنس بالاغتسال بالماء بنية التقرب لله
اقرض,awn3-02329178-v,46736,أَعَارَ|أَقْرَضَ,دَيَّنَ|أَسْلَفَ|قَارَضَ|سَلَّفَ|أَدَانَ,يعطي الشيء مؤقتاً على أن يعود له مجدداً,أعطى شخصاً مالاً أو منفعة على أن يعيدها إليه في وقت لاحق
حداثه,awn3-05056959-n,47547,حَدَاثَة,عِرْنِينٌ|فَتَاءٌ|فُتُوَّةٌ|شَبِيبَةٌ|شَبَابٌ,الزمن الذي كان قبل الحاضر مباشرة,وصف لمرحلة عمرية تبدأ بعد البلوغ إلى ما قبل الكهولة ويكون الشخص بكامل قوته وطاقته
تزوج,awn3-02494483-v,46682,تَزَوَّجَ,تَزَوَّجَ ب|تَزَوَّجَ من|تَأَهَّلَ|تَأَهَّلَ ب|تَأَهَّلَ ل|أَهَلَ|اِقْتَرَنَ|اِقْتَرَنَ ب|نَكَحَ,يرتبط الرجل بالمرأة بموجب عقد رسمي,اتَّخذ لَهُ زَوْجاً،  والزوج عكس الفرد فأصبح من حالة الانفراد لكونه زوج(شخصين) يربط بينهما عقد وإشها
مطبوع,awn3-00472920-a,48400,مَطْبُوع,مَفْطُورٌ|مَخْلوقاتٌ,تم تجهيزه وطباعته في كتاب أو مجلة ...الخ للنشر والتوزيع والبيع,وصف صفة الكائن إذا خُلِقَ على شيء واعتادَهُ
بوابه,awn3-03432206-n,47520,بَوَّابَة,فُتْحَةٌ|بَابٌ|مَنْفَذٌ|مَدْخَلٌ|كَوَّةٌ|كُوَّةٌ,باب كبير متحرك في سور أو جدار على مدخل المباني ونحوه,حيّز نافذ ذو شكل معيّن في الموجودالمادي يستخدم للدخول أو الخروج منه
موضه,awn3-05758160-n,53208,صَيْحَة|مُوضَة,طِرَازٌ,شكل من أشكال التعبير عن الذات والاستقلالية في فترة ومكان معينين وفي سياق محدد وتعكس الذوق العام,نمط وشكل معين في صناعة الأشياء
شحب,awn3-00103373-v,51848,شَحِبَ|اِصْفَرَّ,تَبَدَّلَ|مُبَاشَرَةٌ|تَغَيَّرَ|حَالَ2|حَالَ عن|إِثْرٌ,يفقد لون الجلد الطبيعي ويتحول إلى الأصفر أو الباهت بسبب المرض أو الخوف,حجز بين شيئين ووقف بينهما
ترياق,awn3-02722499-n,47519,تِرْيَاق,عِلَاجٌ|عَقَاقِيرُ|دَوَاءٌ|بَلْسَمٌ|مُعَالَجَةٌ,مادة علاجية تعاكس أثر السم وتبطل مفعوله,مادة تستخدم للعلاج تصنع من مواد كالنبات وغيرها تساعد على تحسين الصحة
طيران,awn3-08084054-n,52739,طَيَرَان|مِلاحَة جَوِّيَّة,زَفِيفٌ|تَحْلِيقٌ,عملية نقل الناس والبضائع عن طريق وسائل النقل الجوية,ارتفاع في السماء
حنش,awn3-01730287-n,46292,حَنَش,صِلٌّ|ثُعْبَانٌ|أَسْودُ2|أَصَلَةٌ|أَرْقَمُ|حَيَّةٌ|أُفْعُوَانٌ|أَفْعَىً,أفاعٍ غير ضارة غالباً من الأفاعي الأرضية أو الشجرية أو المائية التي تعيش في المناطق المعتدلة إلى الا,حيوان زاحف من ذوات الدم البارد ، له جسم متطأول، مغطى بحراشف، ولا توجد له أطراف، أو أذنين خارجيتين وه
قراءه,awn3-05816802-n,48379,قِرَاءَة,مُذَاكَرَةٌ|دِرَاسَةٌ|دَرْسٌ,عملية معرفية تستند على تفكيك رموز تسمى حروفاً لتكوين معنى والوصول إلى مرحلة الفهم والإدراك,الأعْمَالُ الْمَدْرَسِيَّةُ ، أَي القِرَاءةُ وَتَحْصِيلُ العُلُومِ وَالْمَعَارِفِ ومعاودة فهم الدروس
دحرج,awn3-01870596-v,46669,دَحْرَجَ|دَوَّرَ,نَكَسَ|نَكَّسَ|قَلَبَ|عَكَسَ|حَوَّلَ|أَدارَ,يجعله يدور ويتقلب بطريقة دائرية كما لو كان على محور,غير في وضع الشيء ف
زفر,awn3-00105087-v,53719,زَفَرَ,نَفَثَ|نَفَثَ ب|نَفَثَ في,يطلق الهواء أو الروائح أثناء الزفير,إخراج الهواء من داخل الجسم عن طريق الفم والأنف للتخلص من غاز ثاني أكسيد الكربون
بوتاسيوم,awn3-14674986-n,49072,بوتاسيوم,بَلَادْيُوم,عنصر فلزي أبيض فضي ناعم طري من مجموعة المعادن القلوية، يتأكسد بسرعة في الهواء ويتفاعل بشدة مع الماء.,"عنصر فلزي فضي اللون ، عدده الذري 19 ، ووزنه الذري 39.102 ، ينصهر عند 62.3 ? م ، اكتشفه ديفي"" عام 180"
فعلي,awn3-02834663-a,52303,فِعْلِي,مَادِّيٌّ|وَاقِعِيٌّ|حَقِيقِيٌّ,خاص بالأفعال أو يتألف منها,صفة الأمور النَاتِجَةٌ عَنِ الوَاقِعِ والملموسة فيه وليسَت من الخيال
كاثر,awn3-00055613-v,46363,كَاثَرَ,تَاهَ1 عن|تَاهَ1 في|زَهَا1|زُهِيَ|زُهِيَ بِ|زُهِيَ عَلى|تَطَاوَلَ|تَطَاوَلَ إلى|تَطَاوَلَ على|تَجَبَّرَ|جارى|تَصَلَّفَ|تَغَطْرَسَ على|تَغَطْرَسَ في|تَفَاخَرَ|تَفَاخَرَ ب|فَخْفَخَ|اِفْتَخَرَ ب|فاخَرَ|فاخَرَ ب|سَامَى|اِخْتَالَ|اِخْتَالَ في|تَخايَلَ|تَخايَلَ ل|تَبَخْتَرَ|بَاهَى|بَاهَى ب|تَبَاهَى|شَمَخَ|شَمَخَ ب|تَشَامَخَ|نافَرَ|تَمَدَّحَ|تَمَدَّحَ إلى|أُعْجِبَ ب|عَتا1|تَعَجْرَفَ|تَعَجْرَفَ على|اِعْتَزَّ|اِعْتَزَّ ب|اِعْتَزَّ على|تَعَظَّمَ|تَعَاظَمَ|عَلا2|عَلا في|تَعَالَى|تَعَالَى على|سَابَقَ|سَابَقَ إِلَى|تَحَدَّى|فَخَرَ|فَخَرَ ب|نافَسَ|نافَسَ في|بَارَزَ|غَالَبَ|تَكَبَّرَ|تَكَبَّرَ على|تَكَبَّرَ عن|َتَبجَّحَ|بَارَى,يساعد في عملية التكاثر بطرق عدة كالتطعيم والتلقيح الاصطناعي,افتخر الشخص بالباطل أو من غير حق
لوم,awn3-06726451-n,46207,عِتَاب|لَوْم|مَلاَمَة|عَتَب|لائِمَة,تَقْرِيعٌ|مُعَاتَبَةٌ|تَقْبِيحٌ|تَعْنِيفٌ|تَثْرِيبٌ|تَبْكِيتٌ|تَوْبِيخٌ|عَذْلٌ|تَأنيبٌ|تَنْدِيِدٌ,التعبير عن الانزعاج أو عدم الاستحسان بطريقة غير عنيفة,الخطاب الشديد المصحوب بغلظة في الكلام والموّجه لشخص قام بفعل غير مرغوب فيه أو خاطئ
مستعد,awn3-02575716-a,47126,رَاغِب|مُسْتَعِدّ,مُحْتَشِدٌ|مُتَأَهِّبٌ|مُهَيَّأٌ|مُعَدٌّ|جَاهِزٌ|حَاضِرٌ,يريد شيئاً أو يريد فعل شيء بكل سعادة وحماس ورضا,حالة تصف الشخص الذي أعدّ نفسه للقيام بأمرٍ ما
عهر,awn3-02559774-v,46384,عَهَرَ,قَذَعٌ|سِفَاحٌ|ابْتِذَالٌ|بَذَاءَةٌ|فُجُورٌ|فُجْرٌ|فُحْشٌ|فاحِشةٌ|عَهَرَ2|كُفْرٌ1|زِنَىً|فَسَادٌ|اِنْحِلَالٌ|مُجُونٌ|رَدَاءَةٌ|بَغْيٌ|دَنَاءَةٌ|دَعَارَةٌ|دِعَارَةٌ|خَلَاعَةٌ|سَفَهٌ|سَفَاهَةٌ|سَفَالَةٌ|فُسُوقٌ|فِسْقٌ|تَهَتُّكٌ|اِنْحِرَافٌ|مَعْصِيَةٌ,تبيع جسدها بممارسة الجنس مقابل المال,القيام بأفعال منافية للدين والعادات والتقاليد والقانون
دعوه,awn3-07200808-n,54174,دَعْوَة,نِداءٌ,طلب ( مكتوب أو شفهي ) لتشارك في أمر، أو تكون حاضراً في حدث,عملية استدعاء شخص لهدف ما
منتجع,awn3-08658314-n,46333,مُنْتَجَع,مُنْيَةٌ|أُمْنِيَّةٌ|مَرَامٌ|مُبْتَغَىً|مَأْرَبٌ|مَرْمًى|بُغْيَةٌ|غَرَضٌ|تَطَلُّعٌ|قَصْدٌ|مَقْصِدٌ|مَطْلَبٌ|رَغْبَةٌ|غَايَةٌ|أَمَلَ|أَمَلَ في|هَدَفٌ|إِرَادَةٌ|رَجَاءٌ|مَنَالٌ2|مَنَالٌ1|مَنِيَّةٌ,مكان للاستجمام يقضي فيه الناس عطلتهم أو يزورونه للسياحة,رجاء الشيء وترقّبه والتطلُّع إلى امتلاكه
متوعك,awn3-10615055-n,47051,مُتَوَعِّك|مَرِيض,مُنْهَكٌ|مِمْرَاضٌ|مُضْنَىً|مُدْنِفٌ|مُنْهِكٌ|صِبٌّ|مُدْنَفٌ|عَليلٌ|عَمِيدٌ|دَنِفٌ|دَنَفٌ|سَقِيمٌ|مِسْقَامٌ|مُعْتَلٌّ,الشخص الذي يعاني مشكلة صحية ويحتاج العلاج,حالة من يلازمه الافتقار للصحة والعافية في جسمه
اوشك,awn3-02732759-v,46512,أَوْشَكَ|قَارَبَ,أَزِفَ|ناهَزَ|جَاوَرَ|شَارَفَ|شَارَفَ على|أقْبَلَ|أقْبَلَ ب|أقْبَلَ على|قَرُبَ2|سَلَفَ|حانَ|حانَ ل|قارَبَ في|قارَبَ من|كَادَ2|آنَ2|أَطَلَّ|أَطَلَّ على|اِقْتَرَبَ|اِقْتَرَبَ من|كَرَبَ|تَدَانَى,,جاء وقت شيء ما وأصبح وقوعه أمر ليس ببعيد عن الزمن الحاضر
امبراطور,awn3-10072812-n,46550,إمْبرَاطُور,قَيْصَرٌ|أَمِيرٌ|عَظِيمٌ|حاكِمٌ|مَلِكٌ|عَاهِلٌ|فِرْعَونٌ|شَاهٌ,الذكر الذي يحكم إمبراطورية,صَاحبُ الأَمر والسلطة على أُمَّة أَو قبيلة أَو بلاد
صاله,awn3-03483990-n,54329,صَالَة,قَاعَةٌ,حجرة واسعة مخصصة للاجتماعات أو الترفيه ونحوه,غرفة كبيرة وواسعة مخصصة لاحتواء عدد كبير من الموجودات المادية
تجذر,awn3-00358789-v,47217,تَجَذَّرَ,تَأَصَّلَ|أَثَلَ|ثَبَتَ|ثَبَتَ على|ثَبَتَ في|ثَبُتَ|ثَبُتَ في|رَسَخَ|تَرَسَّخَ|مَتُنَ|تَوَطَّدَ|اِسْتَحْكَمَ|اِسْتَحْكَمَ على|تَوَثَّقَ|تَوَثَّقَ في|تَوَثَّقَ من|تَثَبَّتَ|تَثَبَّتَ في|تَثَبَّتَ من|صَلُبَ|رَسَا|رَسَا على|وَثُقَ|وَثُقَ في|وَثُقَ من|تَمَكَّنَ|تَمَكَّنَ ب|تَمَكَّنَ في|تَمَكَّنَ من|صَمَدَ|صَمَدَ عَلَى|صَمَدَ فِي,تُشكل الجذور ثم تبدأ في النمو,فعل ثبات الشيء في موضعه
احتلال,awn3-01135602-n,46957,اِحْتِلال,مُصَادَرَةٌ|اِسْتِيلَاءٌ,استيلاء دولة أجنبية على أراضي دولة أخرى أو جزء منها ، بالقوة العسكريّة.,عملية وضع اليد والحصول على شيء ما بالقوة وبغير حق
دحرجه,awn3-00105229-n,54352,دَحْرَجَة,تَدَحْرُجٌ|دُرُوجٌ,(شرح) عملية تدوير الشيء على نفسه تتابعاً,مصدر لفعل حركه الشيء و دار على نفسه وتتابع انقلابه
هاتف,awn3-04408223-n,46311,هَاتِف,مُوبايْل|جَوَّالٌ|خَلَوِيٌّ|تِلِفُونٌ|تِلِيفُونٌ|مَحْمُولٌ,معدات إلكترونية لنقل الصوت من خلال إشارات كهربائية عبر المسافات بين طرفين متصلين بالهاتف بشكل فوري.,مصنوع مخصص لغرض التواصل اللاسلكي عن طريق شبكة من أبراج البث الموزّعة ضمن مساحة معيّنة مكون من مرسل و
مفرزه,awn3-08232169-n,49223,مَفْرَزَة,فِرْقَةٌ,وحدة عسكرية يمكنها أن تنفصل عن وحداتها الأكبر كي تؤدي مهمة محددة,جماعة من الناس يجتمعون حول هدف معيّن فيكون بينهم رابطاً مشتركاً
انتفاع,awn3-05197374-n,48872,اِنْتِفَاع|اِسْتِغْلال,اِسْتِفَادَةٌ|تَوْظِيفٌ|اِسْتِثْمَارٌ,(قانون) حق متفرع عن حق الملكية وهو يبيح لصاحبه الانتفاع بملك الغير دون أن يغير من وضعه أو يمس جوهره.,استخدام رؤوس الأموال في الإنتاج ؛ إما مباشرةً بشراء الآلات والمواد الأولية ،وإما بطريق غير مباشر كشر
سخافه,awn3-04898878-n,46114,سَخَافَة,غَبَاوَةٌ|غَفْلَةٌ|هَوَجٌ|هَوَسٌ|خَطَلٌ|بَلادَةٌ|طِيرَةٌ 2|طِيَرَةٌ|حَمَاقَةٌ|حُمْقٌ|تَفَاهَةٌ|طَيْشٌ|جَهْلٌ|خِفَّةٌ|رُعُونَةٌ|نَزَقٌ|بَلَاهَةٌ|بَلَهٌ|خُرْقٌ|سَفَهٌ|سَفَاهَةٌ|سُخْفٌ,ضعف العقل ورقته من خلال التصرف بتصرفات بلهاء أو التفوه بأشياء تافهة لا معنى او قيمة لها,خاصية لمنضعُف عقله وغلبت عليه الغفلة وكان ضعيف الذكاء قليل البديهة
اضعاف,awn3-07553361-n,46499,إضْعَاف,إِهْلاَكٌ|هَلاَكٌ|تَهْدِيمٌ|تَحْطِيمٌ|إِفْسَادٌ|إِعْطَابٌ|اِسْتِئْصَالٌ|إِتْلافٌ|تَشْوِيهٌ|تَشَوَّهَ|تَحْرِيفٌ|هَدْمٌ|تَكْسِيرٌ|تَلَفٌ|ضَرَرٌ|اِسْتِهْلَاكٌ|تَدْمِيرٌ|إِبادةٌ|تَبْديدٌ|دَمَارٌ|تَخْرِيبٌ|إِفْنَاءٌ|خَرَابٌ,فقدان الثقة والحماس والأمل والشجاعة بالإقدام على شيء ما,حدوث إتلاف للشيء وعدم بقائه صحيحاً وسليماً كما كان
متطلب,awn3-05901034-n,49596,مُتَطَلَّب|شَرْط,مَطْلَبٌ,أمر ضروري ومشترط مسبقاً لحدوث أمر آخر لاحقاً,الأمر محتّم الوجود وال والمطلوب
زياره,awn3-01236655-n,47760,زِيَارَة,مَجِيءٌ|غَشَيَانٌ|قُدُومٌ|وُصُولٌ|حُضُورٌ1|عِيَادَةٌ|إِتْيانٌ,عملية الذهاب للالتقاء بشخص أو مشاهدة مكان ما خلال وقت محدود,زيارة مخصصة لمريض إطمئناناً على أحواله
تكتم,awn3-04659141-n,46287,تَحَفُّظ|تَكَتُّم,أَكْمَنَ|كَنَّ1|صَمَتَ|غَمَى2|كَاشَحَ|طَوَى1|أَضْمَرَ|ضَنَّ ب1|لَفَّ|غَشِيَ1|غَشَّى|غَشَّى على|غَلَّفَ|أغْمَدَ|غَمَّدَ|غَمَرَ|غَمَّ|غَيَّبَ|سَتَرَ|أَسَرَّ|أَسَرَّ ب|أَخْبَأَ|خَبَّأَ|خَمَرَ|أَخْمَرَ|أَبْطَنَ|رَدَمَ|طَمَسَ2|طَمَسَ على|حَجَبَ|وَارَى|حَبَسَ|غَطَّى|غَطَّى على|وَرَّى|وَرَّى عن|أَخْفَى|كَمَّ|كَفَّنَ|كَظَمَ|كَظَمَ على|كَشَحَ|كَسا|كاتَمَ|تَكَتَّمَ على|كَتَمَ|كَبَتَ|طَمَرَ1|ضَنَّ ب2|سَكَتَ|سَكَتَ عن|سَكَتَ على,سمة أن يكون الشخص غير ميال للحديث أو إعطاء المعلومات أو التعبير عن الآراء,فعل إخفاء الشيء وعدم إظهار حقائقه
زجج,awn3-00125255-v,48048,زَجَّجَ,تَزَجَّجَ,يصبح شكله مصقولاً كالزجاج، جامداً تنقصه الحيوية,تحوُّل الشيء إلى زجاج أو طلاهُ بِطلاء يشبه الزجاج
تسميه,awn3-07245162-n,53036,تَسْمِيَة|ذِكْر,تَعْيِينٌ|تَخْصِيصٌ,الفعل الكلامي الذي يقتضي إعطاء شيء ما اسماً أو ذكر اسم شيء.,تحديد واختيار شيء بعينه دون غيره لأمر ما
مسحوق,awn3-15021579-n,49381,مَسْحُوق,ذَرُورٌ,مادة جافة صلبة تم سحقها تتألف من العديد من الجسيمات الدقيقة جداً والتي تتدفق بحرية عند الهز أو الحرك,للمادة الصلبة المطحونة فتكون على شكل دقائق ع صغيرة
استهلاك,awn3-13472977-n,46499,اِسْتِهْلاك,إِهْلاَكٌ|هَلاَكٌ|تَهْدِيمٌ|تَحْطِيمٌ|إِفْسَادٌ|إِعْطَابٌ|اِسْتِئْصَالٌ|إِتْلافٌ|إِضْعَافٌ|تَشْوِيهٌ|تَشَوَّهَ|تَحْرِيفٌ|هَدْمٌ|تَكْسِيرٌ|تَلَفٌ|ضَرَرٌ|تَدْمِيرٌ|إِبادةٌ|تَبْديدٌ|دَمَارٌ|تَخْرِيبٌ|إِفْنَاءٌ|خَرَابٌ,مجمل إنفاق الفرد وانتفاعه من السلع الاقتصادية لسد حاجاته أو استخدامها في الصناعة,حدوث إتلاف للشيء وعدم بقائه صحيحاً وسليماً كما كان
منتقي,awn3-02130856-a,47429,مُنْتَقًى|مُخْتَار,مُنْتَخِبٌ|مُنْتَخِبَةٌ|مُنْتَخَبٌ|مَطْلُوبٌ|مُصْطَفَى|مُفَضَّلٌ,تم اختياره لتفضيله على الخيارات الأخرى,صفة الشيء المرغوب فيه والمستحب على غيره لوجود صفات جعلته مميّزاً عمن سواه
